table_id,geography,category,item,sex,age_group,metric_type,value,source_file
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Males,,estimate,2369.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Females,,estimate,2826.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Persons,,estimate,5196.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Males,,estimate,554.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Females,,estimate,657,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Persons,,estimate,1220.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Males,,estimate,673.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Females,,estimate,638.2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Persons,,estimate,1318.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Males,,estimate,1240.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Females,,estimate,1296.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Persons,,estimate,2538.5,New South Wales - Lifetime and 12-month disorders.xlsx
