indicator,sub_indicator,sex,phn_code,phn_name,age_band,metric_name,unit,value
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,35-44 years,Proportion,(%),1.7
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,35-44 years,95% Confidence Interval of proportion,Lower (%),1.2
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,35-44 years,Population,(no.),80077
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,45-54 years,Persons with disorder,(no.),984
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,45-54 years,Relative root mean square error(b),(%),16.7
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,45-54 years,Proportion,(%),1.2
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,45-54 years,95% Confidence Interval of proportion,Lower (%),0.8
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,45-54 years,Population,(no.),81027
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,55-85 years,Persons with disorder,(no.),1338
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,55-85 years,Relative root mean square error(b),(%),14.8
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,55-85 years,Proportion,(%),0.6
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,55-85 years,95% Confidence Interval of proportion,Lower (%),0.4
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,55-85 years,Population,(no.),212601
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,Total 16-85 years,Persons with disorder,(no.),10288
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,Total 16-85 years,Relative root mean square error(b),(%),8.9
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,Total 16-85 years,Proportion,(%),2
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.6
12-month Substance Use disorders - modelled,,Females,108,Hunter New England and Central Coast,Total 16-85 years,Population,(no.),518558
12-month Substance Use disorders - modelled,,Females,109,North Coast,,In scope population(a),(%),99.6
12-month Substance Use disorders - modelled,,Females,109,North Coast,16-24 years,Persons with disorder,(no.),1389
12-month Substance Use disorders - modelled,,Females,109,North Coast,16-24 years,Relative root mean square error(b),(%),14.2
12-month Substance Use disorders - modelled,,Females,109,North Coast,16-24 years,Proportion,(%),6.2
12-month Substance Use disorders - modelled,,Females,109,North Coast,16-24 years,95% Confidence Interval of proportion,Lower (%),4.5
12-month Substance Use disorders - modelled,,Females,109,North Coast,16-24 years,Population,(no.),22365
12-month Substance Use disorders - modelled,,Females,109,North Coast,25-34 years,Persons with disorder,(no.),1013
12-month Substance Use disorders - modelled,,Females,109,North Coast,25-34 years,Relative root mean square error(b),(%),13
12-month Substance Use disorders - modelled,,Females,109,North Coast,25-34 years,Proportion,(%),3.8
12-month Substance Use disorders - modelled,,Females,109,North Coast,25-34 years,95% Confidence Interval of proportion,Lower (%),2.8
12-month Substance Use disorders - modelled,,Females,109,North Coast,25-34 years,Population,(no.),27011
12-month Substance Use disorders - modelled,,Females,109,North Coast,35-44 years,Persons with disorder,(no.),639
12-month Substance Use disorders - modelled,,Females,109,North Coast,35-44 years,Relative root mean square error(b),(%),15
12-month Substance Use disorders - modelled,,Females,109,North Coast,35-44 years,Proportion,(%),2
12-month Substance Use disorders - modelled,,Females,109,North Coast,35-44 years,95% Confidence Interval of proportion,Lower (%),1.4
12-month Substance Use disorders - modelled,,Females,109,North Coast,35-44 years,Population,(no.),31368
12-month Substance Use disorders - modelled,,Females,109,North Coast,45-54 years,Persons with disorder,(no.),559
12-month Substance Use disorders - modelled,,Females,109,North Coast,45-54 years,Relative root mean square error(b),(%),16.9
12-month Substance Use disorders - modelled,,Females,109,North Coast,45-54 years,Proportion,(%),1.6
12-month Substance Use disorders - modelled,,Females,109,North Coast,45-54 years,95% Confidence Interval of proportion,Lower (%),1.1
12-month Substance Use disorders - modelled,,Females,109,North Coast,45-54 years,Population,(no.),34806
12-month Substance Use disorders - modelled,,Females,109,North Coast,55-85 years,Persons with disorder,(no.),828
12-month Substance Use disorders - modelled,,Females,109,North Coast,55-85 years,Relative root mean square error(b),(%),14.6
12-month Substance Use disorders - modelled,,Females,109,North Coast,55-85 years,Proportion,(%),0.8
12-month Substance Use disorders - modelled,,Females,109,North Coast,55-85 years,95% Confidence Interval of proportion,Lower (%),0.6
12-month Substance Use disorders - modelled,,Females,109,North Coast,55-85 years,Population,(no.),102238
12-month Substance Use disorders - modelled,,Females,109,North Coast,Total 16-85 years,Persons with disorder,(no.),4427
12-month Substance Use disorders - modelled,,Females,109,North Coast,Total 16-85 years,Relative root mean square error(b),(%),9.9
12-month Substance Use disorders - modelled,,Females,109,North Coast,Total 16-85 years,Proportion,(%),2
12-month Substance Use disorders - modelled,,Females,109,North Coast,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.6
12-month Substance Use disorders - modelled,,Females,109,North Coast,Total 16-85 years,Population,(no.),217788
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,,In scope population(a),(%),99.8
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,16-24 years,Persons with disorder,(no.),485
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,16-24 years,Relative root mean square error(b),(%),16.4
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,16-24 years,Proportion,(%),4.1
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,16-24 years,95% Confidence Interval of proportion,Lower (%),2.8
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,16-24 years,Population,(no.),11790
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,25-34 years,Persons with disorder,(no.),313
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,25-34 years,Relative root mean square error(b),(%),16.7
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,25-34 years,Proportion,(%),2.2
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,25-34 years,95% Confidence Interval of proportion,Lower (%),1.5
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,25-34 years,Population,(no.),14173
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,35-44 years,Persons with disorder,(no.),172
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,35-44 years,Relative root mean square error(b),(%),17.6
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,35-44 years,Proportion,(%),1.2
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,35-44 years,95% Confidence Interval of proportion,Lower (%),0.8
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,35-44 years,Population,(no.),13901
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,45-54 years,Persons with disorder,(no.),150
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,45-54 years,Relative root mean square error(b),(%),19.5
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,45-54 years,Proportion,(%),1
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,45-54 years,95% Confidence Interval of proportion,Lower (%),0.6
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,45-54 years,Population,(no.),14420
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,55-85 years,Persons with disorder,(no.),224
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,55-85 years,Relative root mean square error(b),(%),17.1
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,55-85 years,Proportion,(%),0.6
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,55-85 years,95% Confidence Interval of proportion,Lower (%),0.4
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,55-85 years,Population,(no.),39603
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,Total 16-85 years,Persons with disorder,(no.),1344
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,Total 16-85 years,Relative root mean square error(b),(%),12.6
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,Total 16-85 years,Proportion,(%),1.4
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.1
12-month Substance Use disorders - modelled,,Females,110,Murrumbidgee,Total 16-85 years,Population,(no.),93887
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,,In scope population(a),(%),100
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,16-24 years,Persons with disorder,(no.),3965
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,16-24 years,Relative root mean square error(b),(%),14.4
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,16-24 years,Proportion,(%),3.7
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,16-24 years,95% Confidence Interval of proportion,Lower (%),2.7
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,16-24 years,Population,(no.),106019
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,25-34 years,Persons with disorder,(no.),5991
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,25-34 years,Relative root mean square error(b),(%),10.9
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,25-34 years,Proportion,(%),3.3
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,25-34 years,95% Confidence Interval of proportion,Lower (%),2.6
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,25-34 years,Population,(no.),183582
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,35-44 years,Persons with disorder,(no.),2413
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,35-44 years,Relative root mean square error(b),(%),13
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,35-44 years,Proportion,(%),1.6
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,35-44 years,95% Confidence Interval of proportion,Lower (%),1.2
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,35-44 years,Population,(no.),151918
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,45-54 years,Persons with disorder,(no.),1223
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,45-54 years,Relative root mean square error(b),(%),15.6
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,45-54 years,Proportion,(%),1.1
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,45-54 years,95% Confidence Interval of proportion,Lower (%),0.8
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,45-54 years,Population,(no.),111300
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,55-85 years,Persons with disorder,(no.),1227
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,55-85 years,Relative root mean square error(b),(%),14.3
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,55-85 years,Proportion,(%),0.6
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,55-85 years,95% Confidence Interval of proportion,Lower (%),0.5
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,55-85 years,Population,(no.),191456
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,Total 16-85 years,Persons with disorder,(no.),14818
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,Total 16-85 years,Relative root mean square error(b),(%),7.9
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,Total 16-85 years,Proportion,(%),2
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.7
12-month Substance Use disorders - modelled,,Females,201,North Western Melbourne,Total 16-85 years,Population,(no.),744273
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,,In scope population(a),(%),100
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,16-24 years,Persons with disorder,(no.),3996
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,16-24 years,Relative root mean square error(b),(%),13.5
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,16-24 years,Proportion,(%),4.8
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,16-24 years,95% Confidence Interval of proportion,Lower (%),3.5
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,16-24 years,Population,(no.),84111
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,25-34 years,Persons with disorder,(no.),3094
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,25-34 years,Relative root mean square error(b),(%),11.3
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,25-34 years,Proportion,(%),3.1
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,25-34 years,95% Confidence Interval of proportion,Lower (%),2.4
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,25-34 years,Population,(no.),101064
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,35-44 years,Persons with disorder,(no.),1397
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,35-44 years,Relative root mean square error(b),(%),16
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,35-44 years,Proportion,(%),1.3
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,35-44 years,95% Confidence Interval of proportion,Lower (%),0.9
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,35-44 years,Population,(no.),110660
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,45-54 years,Persons with disorder,(no.),1109
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,45-54 years,Relative root mean square error(b),(%),18.1
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,45-54 years,Proportion,(%),1.1
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,45-54 years,95% Confidence Interval of proportion,Lower (%),0.7
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,45-54 years,Population,(no.),104459
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,55-85 years,Persons with disorder,(no.),1348
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,55-85 years,Relative root mean square error(b),(%),15.4
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,55-85 years,Proportion,(%),0.6
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,55-85 years,95% Confidence Interval of proportion,Lower (%),0.4
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,55-85 years,Population,(no.),215007
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,Total 16-85 years,Persons with disorder,(no.),10945
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,Total 16-85 years,Relative root mean square error(b),(%),8.8
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,Total 16-85 years,Proportion,(%),1.8
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.5
12-month Substance Use disorders - modelled,,Females,202,Eastern Melbourne,Total 16-85 years,Population,(no.),615301
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,,In scope population(a),(%),100
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,16-24 years,Persons with disorder,(no.),3738
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,16-24 years,Relative root mean square error(b),(%),13.6
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,16-24 years,Proportion,(%),4.5
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,16-24 years,95% Confidence Interval of proportion,Lower (%),3.3
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,16-24 years,Population,(no.),83528
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,25-34 years,Persons with disorder,(no.),3629
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,25-34 years,Relative root mean square error(b),(%),11.4
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,25-34 years,Proportion,(%),3
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,25-34 years,95% Confidence Interval of proportion,Lower (%),2.3
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,25-34 years,Population,(no.),120635
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,35-44 years,Persons with disorder,(no.),1723
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,35-44 years,Relative root mean square error(b),(%),14.1
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,35-44 years,Proportion,(%),1.5
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,35-44 years,95% Confidence Interval of proportion,Lower (%),1.1
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,35-44 years,Population,(no.),117871
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,45-54 years,Persons with disorder,(no.),1294
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,45-54 years,Relative root mean square error(b),(%),16.8
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,45-54 years,Proportion,(%),1.2
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,45-54 years,95% Confidence Interval of proportion,Lower (%),0.8
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,45-54 years,Population,(no.),106143
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,55-85 years,Persons with disorder,(no.),1446
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,55-85 years,Relative root mean square error(b),(%),14.8
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,55-85 years,Proportion,(%),0.7
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,55-85 years,95% Confidence Interval of proportion,Lower (%),0.5
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,55-85 years,Population,(no.),210500
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,Total 16-85 years,Persons with disorder,(no.),11830
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,Total 16-85 years,Relative root mean square error(b),(%),8.4
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,Total 16-85 years,Proportion,(%),1.9
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.5
12-month Substance Use disorders - modelled,,Females,203,South Eastern Melbourne,Total 16-85 years,Population,(no.),638677
12-month Substance Use disorders - modelled,,Females,204,Gippsland,,In scope population(a),(%),100
12-month Substance Use disorders - modelled,,Females,204,Gippsland,16-24 years,Persons with disorder,(no.),957
12-month Substance Use disorders - modelled,,Females,204,Gippsland,16-24 years,Relative root mean square error(b),(%),15.5
12-month Substance Use disorders - modelled,,Females,204,Gippsland,16-24 years,Proportion,(%),7.5
12-month Substance Use disorders - modelled,,Females,204,Gippsland,16-24 years,95% Confidence Interval of proportion,Lower (%),5.2
12-month Substance Use disorders - modelled,,Females,204,Gippsland,16-24 years,Population,(no.),12757
12-month Substance Use disorders - modelled,,Females,204,Gippsland,25-34 years,Persons with disorder,(no.),734
12-month Substance Use disorders - modelled,,Females,204,Gippsland,25-34 years,Relative root mean square error(b),(%),14.9
12-month Substance Use disorders - modelled,,Females,204,Gippsland,25-34 years,Proportion,(%),4.4
12-month Substance Use disorders - modelled,,Females,204,Gippsland,25-34 years,95% Confidence Interval of proportion,Lower (%),3.1
12-month Substance Use disorders - modelled,,Females,204,Gippsland,25-34 years,Population,(no.),16730
12-month Substance Use disorders - modelled,,Females,204,Gippsland,35-44 years,Persons with disorder,(no.),426
12-month Substance Use disorders - modelled,,Females,204,Gippsland,35-44 years,Relative root mean square error(b),(%),16.8
12-month Substance Use disorders - modelled,,Females,204,Gippsland,35-44 years,Proportion,(%),2.5
12-month Substance Use disorders - modelled,,Females,204,Gippsland,35-44 years,95% Confidence Interval of proportion,Lower (%),1.7
12-month Substance Use disorders - modelled,,Females,204,Gippsland,35-44 years,Population,(no.),17073
12-month Substance Use disorders - modelled,,Females,204,Gippsland,45-54 years,Persons with disorder,(no.),360
12-month Substance Use disorders - modelled,,Females,204,Gippsland,45-54 years,Relative root mean square error(b),(%),18.4
12-month Substance Use disorders - modelled,,Females,204,Gippsland,45-54 years,Proportion,(%),1.9
12-month Substance Use disorders - modelled,,Females,204,Gippsland,45-54 years,95% Confidence Interval of proportion,Lower (%),1.2
12-month Substance Use disorders - modelled,,Females,204,Gippsland,45-54 years,Population,(no.),18571
12-month Substance Use disorders - modelled,,Females,204,Gippsland,55-85 years,Persons with disorder,(no.),492
12-month Substance Use disorders - modelled,,Females,204,Gippsland,55-85 years,Relative root mean square error(b),(%),16.1
12-month Substance Use disorders - modelled,,Females,204,Gippsland,55-85 years,Proportion,(%),0.9
12-month Substance Use disorders - modelled,,Females,204,Gippsland,55-85 years,95% Confidence Interval of proportion,Lower (%),0.6
12-month Substance Use disorders - modelled,,Females,204,Gippsland,55-85 years,Population,(no.),56587
12-month Substance Use disorders - modelled,,Females,204,Gippsland,Total 16-85 years,Persons with disorder,(no.),2970
12-month Substance Use disorders - modelled,,Females,204,Gippsland,Total 16-85 years,Relative root mean square error(b),(%),11.8
12-month Substance Use disorders - modelled,,Females,204,Gippsland,Total 16-85 years,Proportion,(%),2.4
12-month Substance Use disorders - modelled,,Females,204,Gippsland,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.9
12-month Substance Use disorders - modelled,,Females,204,Gippsland,Total 16-85 years,Population,(no.),121717
12-month Substance Use disorders - modelled,,Females,205,Murray,,In scope population(a),(%),100
12-month Substance Use disorders - modelled,,Females,205,Murray,16-24 years,Persons with disorder,(no.),1795
12-month Substance Use disorders - modelled,,Females,205,Murray,16-24 years,Relative root mean square error(b),(%),13.9
12-month Substance Use disorders - modelled,,Females,205,Murray,16-24 years,Proportion,(%),6.2
12-month Substance Use disorders - modelled,,Females,205,Murray,16-24 years,95% Confidence Interval of proportion,Lower (%),4.5
12-month Substance Use disorders - modelled,,Females,205,Murray,16-24 years,Population,(no.),29048
12-month Substance Use disorders - modelled,,Females,205,Murray,25-34 years,Persons with disorder,(no.),1347
12-month Substance Use disorders - modelled,,Females,205,Murray,25-34 years,Relative root mean square error(b),(%),12.7
12-month Substance Use disorders - modelled,,Females,205,Murray,25-34 years,Proportion,(%),3.6
12-month Substance Use disorders - modelled,,Females,205,Murray,25-34 years,95% Confidence Interval of proportion,Lower (%),2.7
12-month Substance Use disorders - modelled,,Females,205,Murray,25-34 years,Population,(no.),37407
12-month Substance Use disorders - modelled,,Females,205,Murray,35-44 years,Persons with disorder,(no.),766
12-month Substance Use disorders - modelled,,Females,205,Murray,35-44 years,Relative root mean square error(b),(%),14.8
12-month Substance Use disorders - modelled,,Females,205,Murray,35-44 years,Proportion,(%),2
12-month Substance Use disorders - modelled,,Females,205,Murray,35-44 years,95% Confidence Interval of proportion,Lower (%),1.4
12-month Substance Use disorders - modelled,,Females,205,Murray,35-44 years,Population,(no.),38153
12-month Substance Use disorders - modelled,,Females,205,Murray,45-54 years,Persons with disorder,(no.),660
12-month Substance Use disorders - modelled,,Females,205,Murray,45-54 years,Relative root mean square error(b),(%),16.6
12-month Substance Use disorders - modelled,,Females,205,Murray,45-54 years,Proportion,(%),1.6
12-month Substance Use disorders - modelled,,Females,205,Murray,45-54 years,95% Confidence Interval of proportion,Lower (%),1.1
12-month Substance Use disorders - modelled,,Females,205,Murray,45-54 years,Population,(no.),40337
12-month Substance Use disorders - modelled,,Females,205,Murray,55-85 years,Persons with disorder,(no.),873
12-month Substance Use disorders - modelled,,Females,205,Murray,55-85 years,Relative root mean square error(b),(%),14.2
12-month Substance Use disorders - modelled,,Females,205,Murray,55-85 years,Proportion,(%),0.8
12-month Substance Use disorders - modelled,,Females,205,Murray,55-85 years,95% Confidence Interval of proportion,Lower (%),0.6
12-month Substance Use disorders - modelled,,Females,205,Murray,55-85 years,Population,(no.),107663
12-month Substance Use disorders - modelled,,Females,205,Murray,Total 16-85 years,Persons with disorder,(no.),5442
12-month Substance Use disorders - modelled,,Females,205,Murray,Total 16-85 years,Relative root mean square error(b),(%),9.4
12-month Substance Use disorders - modelled,,Females,205,Murray,Total 16-85 years,Proportion,(%),2.2
12-month Substance Use disorders - modelled,,Females,205,Murray,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.8
12-month Substance Use disorders - modelled,,Females,205,Murray,Total 16-85 years,Population,(no.),252607
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,,In scope population(a),(%),100
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,16-24 years,Persons with disorder,(no.),2073
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,16-24 years,Relative root mean square error(b),(%),14
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,16-24 years,Proportion,(%),6.4
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,16-24 years,95% Confidence Interval of proportion,Lower (%),4.6
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,16-24 years,Population,(no.),32417
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,25-34 years,Persons with disorder,(no.),1801
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,25-34 years,Relative root mean square error(b),(%),12.4
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,25-34 years,Proportion,(%),4.2
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,25-34 years,95% Confidence Interval of proportion,Lower (%),3.2
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,25-34 years,Population,(no.),42778
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,35-44 years,Persons with disorder,(no.),911
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,35-44 years,Relative root mean square error(b),(%),15.4
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,35-44 years,Proportion,(%),2.1
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,35-44 years,95% Confidence Interval of proportion,Lower (%),1.5
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,35-44 years,Population,(no.),43504
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,45-54 years,Persons with disorder,(no.),726
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,45-54 years,Relative root mean square error(b),(%),16.8
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,45-54 years,Proportion,(%),1.6
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,45-54 years,95% Confidence Interval of proportion,Lower (%),1.1
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,45-54 years,Population,(no.),44173
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,55-85 years,Persons with disorder,(no.),910
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,55-85 years,Relative root mean square error(b),(%),14.4
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,55-85 years,Proportion,(%),0.8
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,55-85 years,95% Confidence Interval of proportion,Lower (%),0.6
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,55-85 years,Population,(no.),112666
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,Total 16-85 years,Persons with disorder,(no.),6422
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,Total 16-85 years,Relative root mean square error(b),(%),9.5
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,Total 16-85 years,Proportion,(%),2.3
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),1.9
12-month Substance Use disorders - modelled,,Females,206,Western Victoria,Total 16-85 years,Population,(no.),275537
12-month Substance Use disorders - modelled,,Females,301,Brisbane North,,In scope population(a),(%),100
12-month Substance Use disorders - modelled,,Females,301,Brisbane North,16-24 years,Persons with disorder,(no.),3587
12-month Substance Use disorders - modelled,,Females,301,Brisbane North,16-24 years,Relative root mean square error(b),(%),14.1
