indicator,sub_indicator,sex,phn_code,phn_name,age_band,metric_name,unit,value
12-month Affective disorders - modelled,,Males,102,Northern Sydney,35-44 years,Persons with disorder,(no.),2727
12-month Affective disorders - modelled,,Males,102,Northern Sydney,35-44 years,Relative root mean square error(b),(%),11.3
12-month Affective disorders - modelled,,Males,102,Northern Sydney,35-44 years,Proportion,(%),4.2
12-month Affective disorders - modelled,,Males,102,Northern Sydney,35-44 years,95% Confidence Interval of proportion,Lower (%),3.3
12-month Affective disorders - modelled,,Males,102,Northern Sydney,35-44 years,Population,(no.),65204
12-month Affective disorders - modelled,,Males,102,Northern Sydney,45-54 years,Persons with disorder,(no.),2832
12-month Affective disorders - modelled,,Males,102,Northern Sydney,45-54 years,Relative root mean square error(b),(%),10.3
12-month Affective disorders - modelled,,Males,102,Northern Sydney,45-54 years,Proportion,(%),4.5
12-month Affective disorders - modelled,,Males,102,Northern Sydney,45-54 years,95% Confidence Interval of proportion,Lower (%),3.6
12-month Affective disorders - modelled,,Males,102,Northern Sydney,45-54 years,Population,(no.),62586
12-month Affective disorders - modelled,,Males,102,Northern Sydney,55-64 years,Persons with disorder,(no.),2162
12-month Affective disorders - modelled,,Males,102,Northern Sydney,55-64 years,Relative root mean square error(b),(%),10.5
12-month Affective disorders - modelled,,Males,102,Northern Sydney,55-64 years,Proportion,(%),4.2
12-month Affective disorders - modelled,,Males,102,Northern Sydney,55-64 years,95% Confidence Interval of proportion,Lower (%),3.3
12-month Affective disorders - modelled,,Males,102,Northern Sydney,55-64 years,Population,(no.),51696
12-month Affective disorders - modelled,,Males,102,Northern Sydney,65-74 years,Persons with disorder,(no.),814
12-month Affective disorders - modelled,,Males,102,Northern Sydney,65-74 years,Relative root mean square error(b),(%),13.8
12-month Affective disorders - modelled,,Males,102,Northern Sydney,65-74 years,Proportion,(%),2.2
12-month Affective disorders - modelled,,Males,102,Northern Sydney,65-74 years,95% Confidence Interval of proportion,Lower (%),1.6
12-month Affective disorders - modelled,,Males,102,Northern Sydney,65-74 years,Population,(no.),37533
12-month Affective disorders - modelled,,Males,102,Northern Sydney,75-85 years,Persons with disorder,(no.),207
12-month Affective disorders - modelled,,Males,102,Northern Sydney,75-85 years,Relative root mean square error(b),(%),23.7
12-month Affective disorders - modelled,,Males,102,Northern Sydney,75-85 years,Proportion,(%),0.8
12-month Affective disorders - modelled,,Males,102,Northern Sydney,75-85 years,95% Confidence Interval of proportion,Lower (%),0.4
12-month Affective disorders - modelled,,Males,102,Northern Sydney,75-85 years,Population,(no.),25609
12-month Affective disorders - modelled,,Males,102,Northern Sydney,Total 16-85 years,Persons with disorder,(no.),18883
12-month Affective disorders - modelled,,Males,102,Northern Sydney,Total 16-85 years,Relative root mean square error(b),(%),6.1
12-month Affective disorders - modelled,,Males,102,Northern Sydney,Total 16-85 years,Proportion,(%),5.4
12-month Affective disorders - modelled,,Males,102,Northern Sydney,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),4.8
12-month Affective disorders - modelled,,Males,102,Northern Sydney,Total 16-85 years,Population,(no.),349635
12-month Affective disorders - modelled,,Males,103,Western Sydney,,In scope population(a),(%),100
12-month Affective disorders - modelled,,Males,103,Western Sydney,16-24 years,Persons with disorder,(no.),6357
12-month Affective disorders - modelled,,Males,103,Western Sydney,16-24 years,Relative root mean square error(b),(%),8.4
12-month Affective disorders - modelled,,Males,103,Western Sydney,16-24 years,Proportion,(%),9.8
12-month Affective disorders - modelled,,Males,103,Western Sydney,16-24 years,95% Confidence Interval of proportion,Lower (%),8.2
12-month Affective disorders - modelled,,Males,103,Western Sydney,16-24 years,Population,(no.),65083
12-month Affective disorders - modelled,,Males,103,Western Sydney,25-34 years,Persons with disorder,(no.),5871
12-month Affective disorders - modelled,,Males,103,Western Sydney,25-34 years,Relative root mean square error(b),(%),8.4
12-month Affective disorders - modelled,,Males,103,Western Sydney,25-34 years,Proportion,(%),6.8
12-month Affective disorders - modelled,,Males,103,Western Sydney,25-34 years,95% Confidence Interval of proportion,Lower (%),5.6
12-month Affective disorders - modelled,,Males,103,Western Sydney,25-34 years,Population,(no.),86869
12-month Affective disorders - modelled,,Males,103,Western Sydney,35-44 years,Persons with disorder,(no.),3154
12-month Affective disorders - modelled,,Males,103,Western Sydney,35-44 years,Relative root mean square error(b),(%),11.4
12-month Affective disorders - modelled,,Males,103,Western Sydney,35-44 years,Proportion,(%),3.4
12-month Affective disorders - modelled,,Males,103,Western Sydney,35-44 years,95% Confidence Interval of proportion,Lower (%),2.7
12-month Affective disorders - modelled,,Males,103,Western Sydney,35-44 years,Population,(no.),91521
12-month Affective disorders - modelled,,Males,103,Western Sydney,45-54 years,Persons with disorder,(no.),2928
12-month Affective disorders - modelled,,Males,103,Western Sydney,45-54 years,Relative root mean square error(b),(%),9.6
12-month Affective disorders - modelled,,Males,103,Western Sydney,45-54 years,Proportion,(%),4.5
12-month Affective disorders - modelled,,Males,103,Western Sydney,45-54 years,95% Confidence Interval of proportion,Lower (%),3.7
12-month Affective disorders - modelled,,Males,103,Western Sydney,45-54 years,Population,(no.),64458
12-month Affective disorders - modelled,,Males,103,Western Sydney,55-64 years,Persons with disorder,(no.),2292
12-month Affective disorders - modelled,,Males,103,Western Sydney,55-64 years,Relative root mean square error(b),(%),9.3
12-month Affective disorders - modelled,,Males,103,Western Sydney,55-64 years,Proportion,(%),4.5
12-month Affective disorders - modelled,,Males,103,Western Sydney,55-64 years,95% Confidence Interval of proportion,Lower (%),3.7
12-month Affective disorders - modelled,,Males,103,Western Sydney,55-64 years,Population,(no.),50875
12-month Affective disorders - modelled,,Males,103,Western Sydney,65-74 years,Persons with disorder,(no.),867
12-month Affective disorders - modelled,,Males,103,Western Sydney,65-74 years,Relative root mean square error(b),(%),12.9
12-month Affective disorders - modelled,,Males,103,Western Sydney,65-74 years,Proportion,(%),2.4
12-month Affective disorders - modelled,,Males,103,Western Sydney,65-74 years,95% Confidence Interval of proportion,Lower (%),1.8
12-month Affective disorders - modelled,,Males,103,Western Sydney,65-74 years,Population,(no.),35734
12-month Affective disorders - modelled,,Males,103,Western Sydney,75-85 years,Persons with disorder,(no.),158
12-month Affective disorders - modelled,,Males,103,Western Sydney,75-85 years,Relative root mean square error(b),(%),23.8
12-month Affective disorders - modelled,,Males,103,Western Sydney,75-85 years,Proportion,(%),0.8
12-month Affective disorders - modelled,,Males,103,Western Sydney,75-85 years,95% Confidence Interval of proportion,Lower (%),0.4
12-month Affective disorders - modelled,,Males,103,Western Sydney,75-85 years,Population,(no.),19310
12-month Affective disorders - modelled,,Males,103,Western Sydney,Total 16-85 years,Persons with disorder,(no.),21627
12-month Affective disorders - modelled,,Males,103,Western Sydney,Total 16-85 years,Relative root mean square error(b),(%),5.7
12-month Affective disorders - modelled,,Males,103,Western Sydney,Total 16-85 years,Proportion,(%),5.2
12-month Affective disorders - modelled,,Males,103,Western Sydney,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),4.6
12-month Affective disorders - modelled,,Males,103,Western Sydney,Total 16-85 years,Population,(no.),413849
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,,In scope population(a),(%),100
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,16-24 years,Persons with disorder,(no.),2685
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,16-24 years,Relative root mean square error(b),(%),8.6
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,16-24 years,Proportion,(%),11.9
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,16-24 years,95% Confidence Interval of proportion,Lower (%),9.9
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,16-24 years,Population,(no.),22522
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,25-34 years,Persons with disorder,(no.),2289
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,25-34 years,Relative root mean square error(b),(%),8.1
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,25-34 years,Proportion,(%),9.1
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,25-34 years,95% Confidence Interval of proportion,Lower (%),7.6
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,25-34 years,Population,(no.),25210
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,35-44 years,Persons with disorder,(no.),1328
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,35-44 years,Relative root mean square error(b),(%),11.2
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,35-44 years,Proportion,(%),5.2
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,35-44 years,95% Confidence Interval of proportion,Lower (%),4.1
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,35-44 years,Population,(no.),25337
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,45-54 years,Persons with disorder,(no.),1446
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,45-54 years,Relative root mean square error(b),(%),9.8
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,45-54 years,Proportion,(%),6
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,45-54 years,95% Confidence Interval of proportion,Lower (%),4.8
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,45-54 years,Population,(no.),24149
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,55-64 years,Persons with disorder,(no.),1181
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,55-64 years,Relative root mean square error(b),(%),9.9
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,55-64 years,Proportion,(%),5.4
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,55-64 years,95% Confidence Interval of proportion,Lower (%),4.3
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,55-64 years,Population,(no.),22038
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,65-74 years,Persons with disorder,(no.),507
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,65-74 years,Relative root mean square error(b),(%),13.8
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,65-74 years,Proportion,(%),2.9
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,65-74 years,95% Confidence Interval of proportion,Lower (%),2.1
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,65-74 years,Population,(no.),17386
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,75-85 years,Persons with disorder,(no.),91
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,75-85 years,Relative root mean square error(b),(%),25.1
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,75-85 years,Proportion,(%),1
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,75-85 years,95% Confidence Interval of proportion,Lower (%),0.5
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,75-85 years,Population,(no.),9297
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,Total 16-85 years,Persons with disorder,(no.),9527
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,Total 16-85 years,Relative root mean square error(b),(%),5.9
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,Total 16-85 years,Proportion,(%),6.5
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),5.8
12-month Affective disorders - modelled,,Males,104,Nepean Blue Mountains,Total 16-85 years,Population,(no.),145938
12-month Affective disorders - modelled,,Males,105,South Western Sydney,,In scope population(a),(%),100
12-month Affective disorders - modelled,,Males,105,South Western Sydney,16-24 years,Persons with disorder,(no.),7055
12-month Affective disorders - modelled,,Males,105,South Western Sydney,16-24 years,Relative root mean square error(b),(%),8.2
12-month Affective disorders - modelled,,Males,105,South Western Sydney,16-24 years,Proportion,(%),10.5
12-month Affective disorders - modelled,,Males,105,South Western Sydney,16-24 years,95% Confidence Interval of proportion,Lower (%),8.8
12-month Affective disorders - modelled,,Males,105,South Western Sydney,16-24 years,Population,(no.),67158
12-month Affective disorders - modelled,,Males,105,South Western Sydney,25-34 years,Persons with disorder,(no.),5628
12-month Affective disorders - modelled,,Males,105,South Western Sydney,25-34 years,Relative root mean square error(b),(%),7.9
12-month Affective disorders - modelled,,Males,105,South Western Sydney,25-34 years,Proportion,(%),7.7
12-month Affective disorders - modelled,,Males,105,South Western Sydney,25-34 years,95% Confidence Interval of proportion,Lower (%),6.5
12-month Affective disorders - modelled,,Males,105,South Western Sydney,25-34 years,Population,(no.),73502
12-month Affective disorders - modelled,,Males,105,South Western Sydney,35-44 years,Persons with disorder,(no.),3204
12-month Affective disorders - modelled,,Males,105,South Western Sydney,35-44 years,Relative root mean square error(b),(%),10.7
12-month Affective disorders - modelled,,Males,105,South Western Sydney,35-44 years,Proportion,(%),4.4
12-month Affective disorders - modelled,,Males,105,South Western Sydney,35-44 years,95% Confidence Interval of proportion,Lower (%),3.5
12-month Affective disorders - modelled,,Males,105,South Western Sydney,35-44 years,Population,(no.),72800
12-month Affective disorders - modelled,,Males,105,South Western Sydney,45-54 years,Persons with disorder,(no.),3327
12-month Affective disorders - modelled,,Males,105,South Western Sydney,45-54 years,Relative root mean square error(b),(%),9.3
12-month Affective disorders - modelled,,Males,105,South Western Sydney,45-54 years,Proportion,(%),5.1
12-month Affective disorders - modelled,,Males,105,South Western Sydney,45-54 years,95% Confidence Interval of proportion,Lower (%),4.2
12-month Affective disorders - modelled,,Males,105,South Western Sydney,45-54 years,Population,(no.),64640
12-month Affective disorders - modelled,,Males,105,South Western Sydney,55-64 years,Persons with disorder,(no.),2949
12-month Affective disorders - modelled,,Males,105,South Western Sydney,55-64 years,Relative root mean square error(b),(%),9.1
12-month Affective disorders - modelled,,Males,105,South Western Sydney,55-64 years,Proportion,(%),5
12-month Affective disorders - modelled,,Males,105,South Western Sydney,55-64 years,95% Confidence Interval of proportion,Lower (%),4.1
12-month Affective disorders - modelled,,Males,105,South Western Sydney,55-64 years,Population,(no.),59158
12-month Affective disorders - modelled,,Males,105,South Western Sydney,65-74 years,Persons with disorder,(no.),1102
12-month Affective disorders - modelled,,Males,105,South Western Sydney,65-74 years,Relative root mean square error(b),(%),12.6
12-month Affective disorders - modelled,,Males,105,South Western Sydney,65-74 years,Proportion,(%),2.7
12-month Affective disorders - modelled,,Males,105,South Western Sydney,65-74 years,95% Confidence Interval of proportion,Lower (%),2
12-month Affective disorders - modelled,,Males,105,South Western Sydney,65-74 years,Population,(no.),41579
12-month Affective disorders - modelled,,Males,105,South Western Sydney,75-85 years,Persons with disorder,(no.),195
12-month Affective disorders - modelled,,Males,105,South Western Sydney,75-85 years,Relative root mean square error(b),(%),23.5
12-month Affective disorders - modelled,,Males,105,South Western Sydney,75-85 years,Proportion,(%),0.9
12-month Affective disorders - modelled,,Males,105,South Western Sydney,75-85 years,95% Confidence Interval of proportion,Lower (%),0.5
12-month Affective disorders - modelled,,Males,105,South Western Sydney,75-85 years,Population,(no.),22660
12-month Affective disorders - modelled,,Males,105,South Western Sydney,Total 16-85 years,Persons with disorder,(no.),23460
12-month Affective disorders - modelled,,Males,105,South Western Sydney,Total 16-85 years,Relative root mean square error(b),(%),5.2
12-month Affective disorders - modelled,,Males,105,South Western Sydney,Total 16-85 years,Proportion,(%),5.8
12-month Affective disorders - modelled,,Males,105,South Western Sydney,Total 16-85 years,95% Confidence Interval of proportion,Lower (%),5.2
12-month Affective disorders - modelled,,Males,105,South Western Sydney,Total 16-85 years,Population,(no.),401496
